Police Region,Local Government Area,Display year ending,Year,Incidents Recorded
3 Southern Metro, Greater Dandenong,Year ending March,2022,"11,343"
3 Southern Metro, Glen Eira,Year ending March,2022,"5,018"
3 Southern Metro, Frankston,Year ending March,2022,"8,301"
3 Southern Metro, Casey,Year ending March,2022,"14,203"
3 Southern Metro, Cardinia,Year ending March,2022,"4,482"
3 Southern Metro, Bayside,Year ending March,2022,"3,334"
3 Southern Metro,Total,Year ending March,2021,"90,712"
3 Southern Metro, Stonnington,Year ending March,2021,"8,941"
3 Southern Metro, Port Phillip,Year ending March,2021,"10,172"
3 Southern Metro, Mornington Peninsula,Year ending March,2021,"7,614"
3 Southern Metro, Kingston,Year ending March,2021,"8,042"
3 Southern Metro, Greater Dandenong,Year ending March,2021,"14,213"
3 Southern Metro, Glen Eira,Year ending March,2021,"6,017"
3 Southern Metro, Frankston,Year ending March,2021,"10,201"
3 Southern Metro, Casey,Year ending March,2021,"16,199"
3 Southern Metro, Cardinia,Year ending March,2021,"5,488"
3 Southern Metro, Bayside,Year ending March,2021,"3,825"
3 Southern Metro,Total,Year ending March,2020,"95,779"
3 Southern Metro, Stonnington,Year ending March,2020,"9,462"
3 Southern Metro, Port Phillip,Year ending March,2020,"9,956"
3 Southern Metro, Mornington Peninsula,Year ending March,2020,"8,620"
3 Southern Metro, Kingston,Year ending March,2020,"9,034"
3 Southern Metro, Greater Dandenong,Year ending March,2020,"14,724"
3 Southern Metro, Glen Eira,Year ending March,2020,"6,105"
3 Southern Metro, Frankston,Year ending March,2020,"11,096"
3 Southern Metro, Casey,Year ending March,2020,"17,289"
3 Southern Metro, Cardinia,Year ending March,2020,"5,301"
3 Southern Metro, Bayside,Year ending March,2020,"4,192"
3 Southern Metro,Total,Year ending March,2019,"89,346"
3 Southern Metro, Stonnington,Year ending March,2019,"8,169"
3 Southern Metro, Port Phillip,Year ending March,2019,"9,648"
3 Southern Metro, Mornington Peninsula,Year ending March,2019,"8,161"
3 Southern Metro, Kingston,Year ending March,2019,"8,608"
3 Southern Metro, Greater Dandenong,Year ending March,2019,"14,194"
3 Southern Metro, Glen Eira,Year ending March,2019,"4,893"
3 Southern Metro, Frankston,Year ending March,2019,"11,156"
3 Southern Metro, Casey,Year ending March,2019,"16,302"
3 Southern Metro, Cardinia,Year ending March,2019,"4,610"
3 Southern Metro, Bayside,Year ending March,2019,"3,605"
3 Southern Metro,Total,Year ending March,2018,"86,693"
3 Southern Metro, Stonnington,Year ending March,2018,"8,001"
3 Southern Metro, Port Phillip,Year ending March,2018,"9,780"
3 Southern Metro, Mornington Peninsula,Year ending March,2018,"8,519"
3 Southern Metro, Kingston,Year ending March,2018,"7,906"
3 Southern Metro, Greater Dandenong,Year ending March,2018,"13,624"
3 Southern Metro, Glen Eira,Year ending March,2018,"5,232"
3 Southern Metro, Frankston,Year ending March,2018,"10,718"
3 Southern Metro, Casey,Year ending March,2018,"14,745"
3 Southern Metro, Cardinia,Year ending March,2018,"4,271"
3 Southern Metro, Bayside,Year ending March,2018,"3,897"
3 Southern Metro,Total,Year ending March,2017,"98,009"
3 Southern Metro, Stonnington,Year ending March,2017,"9,107"
3 Southern Metro, Port Phillip,Year ending March,2017,"10,465"
3 Southern Metro, Mornington Peninsula,Year ending March,2017,"8,942"
3 Southern Metro, Kingston,Year ending March,2017,"8,381"
3 Southern Metro, Greater Dandenong,Year ending March,2017,"15,458"
3 Southern Metro, Glen Eira,Year ending March,2017,"5,874"
3 Southern Metro, Frankston,Year ending March,2017,"12,351"
3 Southern Metro, Casey,Year ending March,2017,"18,107"
3 Southern Metro, Cardinia,Year ending March,2017,"5,197"
3 Southern Metro, Bayside,Year ending March,2017,"4,127"
3 Southern Metro,Total,Year ending March,2016,"89,865"
3 Southern Metro, Stonnington,Year ending March,2016,"8,047"
3 Southern Metro, Port Phillip,Year ending March,2016,"9,846"
3 Southern Metro, Mornington Peninsula,Year ending March,2016,"8,591"
3 Southern Metro, Kingston,Year ending March,2016,"8,365"
3 Southern Metro, Greater Dandenong,Year ending March,2016,"14,062"
3 Southern Metro, Glen Eira,Year ending March,2016,"5,207"
3 Southern Metro, Frankston,Year ending March,2016,"11,179"
3 Southern Metro, Casey,Year ending March,2016,"15,785"
3 Southern Metro, Cardinia,Year ending March,2016,"4,956"
3 Southern Metro, Bayside,Year ending March,2016,"3,827"
3 Southern Metro,Total,Year ending March,2015,"78,849"
3 Southern Metro, Stonnington,Year ending March,2015,"7,265"
3 Southern Metro, Port Phillip,Year ending March,2015,"9,137"
3 Southern Metro, Mornington Peninsula,Year ending March,2015,"7,366"
3 Southern Metro, Kingston,Year ending March,2015,"7,240"
3 Southern Metro, Greater Dandenong,Year ending March,2015,"12,164"
3 Southern Metro, Glen Eira,Year ending March,2015,"4,475"
3 Southern Metro, Frankston,Year ending March,2015,"10,397"
3 Southern Metro, Casey,Year ending March,2015,"13,502"
3 Southern Metro, Cardinia,Year ending March,2015,"3,942"
3 Southern Metro, Bayside,Year ending March,2015,"3,361"
4 Western,Total,Year ending March,2024,"64,725"
4 Western, Yarriambiack,Year ending March,2024,357
4 Western, West Wimmera,Year ending March,2024,142
4 Western, Warrnambool,Year ending March,2024,"2,322"
4 Western, Swan Hill,Year ending March,2024,"1,442"
4 Western, Surf Coast,Year ending March,2024,999
4 Western, Southern Grampians,Year ending March,2024,941
4 Western, Queenscliffe,Year ending March,2024,63
4 Western, Pyrenees,Year ending March,2024,282
4 Western, Northern Grampians,Year ending March,2024,752
4 Western, Moyne,Year ending March,2024,487
4 Western, Mount Alexander,Year ending March,2024,849
4 Western, Moorabool,Year ending March,2024,"1,823"
4 Western, Mildura,Year ending March,2024,"6,096"
4 Western, Macedon Ranges,Year ending March,2024,"1,516"
4 Western, Loddon,Year ending March,2024,348
4 Western, Horsham,Year ending March,2024,"1,774"
4 Western, Hindmarsh,Year ending March,2024,234
4 Western, Hepburn,Year ending March,2024,553
4 Western, Greater Geelong,Year ending March,2024,"16,855"
4 Western, Greater Bendigo,Year ending March,2024,"8,244"
4 Western, Golden Plains,Year ending March,2024,553
4 Western, Glenelg,Year ending March,2024,"1,240"
4 Western, Gannawarra,Year ending March,2024,690
4 Western, Corangamite,Year ending March,2024,592
4 Western, Colac-Otway,Year ending March,2024,"1,162"
4 Western, Central Goldfields,Year ending March,2024,948
4 Western, Campaspe,Year ending March,2024,"2,874"
4 Western, Buloke,Year ending March,2024,250
4 Western, Ballarat,Year ending March,2024,"9,321"
4 Western, Ararat,Year ending March,2024,"1,016"
4 Western,Total,Year ending March,2023,"58,745"
4 Western, Yarriambiack,Year ending March,2023,304
4 Western, West Wimmera,Year ending March,2023,108
4 Western, Warrnambool,Year ending March,2023,"2,107"
4 Western, Swan Hill,Year ending March,2023,"1,531"
4 Western, Surf Coast,Year ending March,2023,828
4 Western, Southern Grampians,Year ending March,2023,743
4 Western, Queenscliffe,Year ending March,2023,53
4 Western, Pyrenees,Year ending March,2023,283
4 Western, Northern Grampians,Year ending March,2023,715
4 Western, Moyne,Year ending March,2023,435
4 Western, Mount Alexander,Year ending March,2023,724
4 Western, Moorabool,Year ending March,2023,"1,561"
4 Western, Mildura,Year ending March,2023,"5,518"
4 Western, Macedon Ranges,Year ending March,2023,"1,522"
4 Western, Loddon,Year ending March,2023,341
4 Western, Horsham,Year ending March,2023,"1,623"
4 Western, Hindmarsh,Year ending March,2023,199
4 Western, Hepburn,Year ending March,2023,510
4 Western, Greater Geelong,Year ending March,2023,"15,180"
4 Western, Greater Bendigo,Year ending March,2023,"7,857"
4 Western, Golden Plains,Year ending March,2023,506
4 Western, Glenelg,Year ending March,2023,"1,064"
4 Western, Gannawarra,Year ending March,2023,524
4 Western, Corangamite,Year ending March,2023,481
4 Western, Colac-Otway,Year ending March,2023,"1,100"
4 Western, Central Goldfields,Year ending March,2023,774
4 Western, Campaspe,Year ending March,2023,"2,792"
4 Western, Buloke,Year ending March,2023,262
4 Western, Ballarat,Year ending March,2023,"8,225"
4 Western, Ararat,Year ending March,2023,875
4 Western,Total,Year ending March,2022,"57,142"
4 Western, Yarriambiack,Year ending March,2022,298
4 Western, West Wimmera,Year ending March,2022,148
4 Western, Warrnambool,Year ending March,2022,"2,197"
4 Western, Swan Hill,Year ending March,2022,"1,689"
4 Western, Surf Coast,Year ending March,2022,"1,045"
4 Western, Southern Grampians,Year ending March,2022,798
4 Western, Queenscliffe,Year ending March,2022,118
4 Western, Pyrenees,Year ending March,2022,304
4 Western, Northern Grampians,Year ending March,2022,803
4 Western, Moyne,Year ending March,2022,544
4 Western, Mount Alexander,Year ending March,2022,709
4 Western, Moorabool,Year ending March,2022,"1,569"
4 Western, Mildura,Year ending March,2022,"4,869"
4 Western, Macedon Ranges,Year ending March,2022,"1,381"
4 Western, Loddon,Year ending March,2022,387
4 Western, Horsham,Year ending March,2022,"1,601"
4 Western, Hindmarsh,Year ending March,2022,301
4 Western, Hepburn,Year ending March,2022,436
4 Western, Greater Geelong,Year ending March,2022,"14,527"
4 Western, Greater Bendigo,Year ending March,2022,"7,476"
4 Western, Golden Plains,Year ending March,2022,420
4 Western, Glenelg,Year ending March,2022,"1,201"
4 Western, Gannawarra,Year ending March,2022,559
4 Western, Corangamite,Year ending March,2022,580
4 Western, Colac-Otway,Year ending March,2022,"1,210"
4 Western, Central Goldfields,Year ending March,2022,820
4 Western, Campaspe,Year ending March,2022,"2,412"
4 Western, Buloke,Year ending March,2022,222
4 Western, Ballarat,Year ending March,2022,"7,569"
4 Western, Ararat,Year ending March,2022,949
4 Western,Total,Year ending March,2021,"59,264"
4 Western, Yarriambiack,Year ending March,2021,333
4 Western, West Wimmera,Year ending March,2021,122
4 Western, Warrnambool,Year ending March,2021,"2,199"
4 Western, Swan Hill,Year ending March,2021,"1,856"
4 Western, Surf Coast,Year ending March,2021,"1,164"
4 Western, Southern Grampians,Year ending March,2021,791
4 Western, Queenscliffe,Year ending March,2021,80
4 Western, Pyrenees,Year ending March,2021,344
4 Western, Northern Grampians,Year ending March,2021,894
4 Western, Moyne,Year ending March,2021,508
4 Western, Mount Alexander,Year ending March,2021,728
4 Western, Moorabool,Year ending March,2021,"1,990"
4 Western, Mildura,Year ending March,2021,"4,400"
4 Western, Macedon Ranges,Year ending March,2021,"1,850"
4 Western, Loddon,Year ending March,2021,410
4 Western, Horsham,Year ending March,2021,"1,466"
4 Western, Hindmarsh,Year ending March,2021,286
4 Western, Hepburn,Year ending March,2021,507
4 Western, Greater Geelong,Year ending March,2021,"15,506"
4 Western, Greater Bendigo,Year ending March,2021,"7,994"
4 Western, Golden Plains,Year ending March,2021,450
4 Western, Glenelg,Year ending March,2021,"1,048"
4 Western, Gannawarra,Year ending March,2021,639
4 Western, Corangamite,Year ending March,2021,682
4 Western, Colac-Otway,Year ending March,2021,"1,226"
4 Western, Central Goldfields,Year ending March,2021,820
4 Western, Campaspe,Year ending March,2021,"2,453"
4 Western, Buloke,Year ending March,2021,244
4 Western, Ballarat,Year ending March,2021,"7,188"
4 Western, Ararat,Year ending March,2021,"1,086"
4 Western,Total,Year ending March,2020,"63,738"
4 Western, Yarriambiack,Year ending March,2020,316
4 Western, West Wimmera,Year ending March,2020,143
4 Western, Warrnambool,Year ending March,2020,"2,467"
4 Western, Swan Hill,Year ending March,2020,"1,770"
4 Western, Surf Coast,Year ending March,2020,"1,043"
4 Western, Southern Grampians,Year ending March,2020,887
4 Western, Queenscliffe,Year ending March,2020,101
4 Western, Pyrenees,Year ending March,2020,350
4 Western, Northern Grampians,Year ending March,2020,735
4 Western, Moyne,Year ending March,2020,506
4 Western, Mount Alexander,Year ending March,2020,894
4 Western, Moorabool,Year ending March,2020,"1,640"
4 Western, Mildura,Year ending March,2020,"5,543"
4 Western, Macedon Ranges,Year ending March,2020,"1,724"
4 Western, Loddon,Year ending March,2020,366
4 Western, Horsham,Year ending March,2020,"1,356"
4 Western, Hindmarsh,Year ending March,2020,246
4 Western, Hepburn,Year ending March,2020,738
4 Western, Greater Geelong,Year ending March,2020,"16,996"
4 Western, Greater Bendigo,Year ending March,2020,"8,323"
4 Western, Golden Plains,Year ending March,2020,472
4 Western, Glenelg,Year ending March,2020,"1,165"
4 Western, Gannawarra,Year ending March,2020,608
4 Western, Corangamite,Year ending March,2020,548
4 Western, Colac-Otway,Year ending March,2020,"1,280"
4 Western, Central Goldfields,Year ending March,2020,866
4 Western, Campaspe,Year ending March,2020,"2,797"
4 Western, Buloke,Year ending March,2020,254
4 Western, Ballarat,Year ending March,2020,"8,710"
4 Western, Ararat,Year ending March,2020,894
4 Western,Total,Year ending March,2019,"62,247"
4 Western, Yarriambiack,Year ending March,2019,320
4 Western, West Wimmera,Year ending March,2019,125
4 Western, Warrnambool,Year ending March,2019,"3,007"
4 Western, Swan Hill,Year ending March,2019,"1,868"
4 Western, Surf Coast,Year ending March,2019,899
4 Western, Southern Grampians,Year ending March,2019,"1,108"
4 Western, Queenscliffe,Year ending March,2019,118
4 Western, Pyrenees,Year ending March,2019,419
4 Western, Northern Grampians,Year ending March,2019,762
4 Western, Moyne,Year ending March,2019,458
4 Western, Mount Alexander,Year ending March,2019,750
4 Western, Moorabool,Year ending March,2019,"1,633"
4 Western, Mildura,Year ending March,2019,"5,491"
4 Western, Macedon Ranges,Year ending March,2019,"1,782"
4 Western, Loddon,Year ending March,2019,386
4 Western, Horsham,Year ending March,2019,"1,436"
4 Western, Hindmarsh,Year ending March,2019,249
4 Western, Hepburn,Year ending March,2019,619
4 Western, Greater Geelong,Year ending March,2019,"15,776"
4 Western, Greater Bendigo,Year ending March,2019,"8,092"
4 Western, Golden Plains,Year ending March,2019,510
4 Western, Glenelg,Year ending March,2019,957
4 Western, Gannawarra,Year ending March,2019,581
4 Western, Corangamite,Year ending March,2019,490
4 Western, Colac-Otway,Year ending March,2019,"1,320"
4 Western, Central Goldfields,Year ending March,2019,917
4 Western, Campaspe,Year ending March,2019,"2,919"
4 Western, Buloke,Year ending March,2019,214
4 Western, Ballarat,Year ending March,2019,"8,129"
4 Western, Ararat,Year ending March,2019,912
4 Western,Total,Year ending March,2018,"61,591"
4 Western, Yarriambiack,Year ending March,2018,358
4 Western, West Wimmera,Year ending March,2018,114
4 Western, Warrnambool,Year ending March,2018,"2,707"
4 Western, Swan Hill,Year ending March,2018,"1,752"
4 Western, Surf Coast,Year ending March,2018,952
4 Western, Southern Grampians,Year ending March,2018,"1,004"
4 Western, Queenscliffe,Year ending March,2018,108
4 Western, Pyrenees,Year ending March,2018,307
4 Western, Northern Grampians,Year ending March,2018,802
4 Western, Moyne,Year ending March,2018,464
4 Western, Mount Alexander,Year ending March,2018,733
4 Western, Moorabool,Year ending March,2018,"1,823"
4 Western, Mildura,Year ending March,2018,"4,822"
4 Western, Macedon Ranges,Year ending March,2018,"1,522"
4 Western, Loddon,Year ending March,2018,317
4 Western, Horsham,Year ending March,2018,"1,637"
4 Western, Hindmarsh,Year ending March,2018,253
4 Western, Hepburn,Year ending March,2018,639
4 Western, Greater Geelong,Year ending March,2018,"16,863"
4 Western, Greater Bendigo,Year ending March,2018,"7,089"
4 Western, Golden Plains,Year ending March,2018,481
4 Western, Glenelg,Year ending March,2018,"1,196"
4 Western, Gannawarra,Year ending March,2018,417
4 Western, Corangamite,Year ending March,2018,620
4 Western, Colac-Otway,Year ending March,2018,"1,241"
4 Western, Central Goldfields,Year ending March,2018,907
4 Western, Campaspe,Year ending March,2018,"2,511"
4 Western, Buloke,Year ending March,2018,168
4 Western, Ballarat,Year ending March,2018,"8,899"
4 Western, Ararat,Year ending March,2018,885
4 Western,Total,Year ending March,2017,"66,696"
4 Western, Yarriambiack,Year ending March,2017,330
4 Western, West Wimmera,Year ending March,2017,123
4 Western, Warrnambool,Year ending March,2017,"2,588"
4 Western, Swan Hill,Year ending March,2017,"1,753"
4 Western, Surf Coast,Year ending March,2017,"1,068"
4 Western, Southern Grampians,Year ending March,2017,"1,025"
4 Western, Queenscliffe,Year ending March,2017,135
4 Western, Pyrenees,Year ending March,2017,360
4 Western, Northern Grampians,Year ending March,2017,933
4 Western, Moyne,Year ending March,2017,488
4 Western, Mount Alexander,Year ending March,2017,908
4 Western, Moorabool,Year ending March,2017,"1,981"
4 Western, Mildura,Year ending March,2017,"5,216"
4 Western, Macedon Ranges,Year ending March,2017,"1,643"
4 Western, Loddon,Year ending March,2017,393
4 Western, Horsham,Year ending March,2017,"1,756"
4 Western, Hindmarsh,Year ending March,2017,288
4 Western, Hepburn,Year ending March,2017,723
4 Western, Greater Geelong,Year ending March,2017,"18,084"
4 Western, Greater Bendigo,Year ending March,2017,"8,032"
4 Western, Golden Plains,Year ending March,2017,590
4 Western, Glenelg,Year ending March,2017,"1,379"
4 Western, Gannawarra,Year ending March,2017,528
4 Western, Corangamite,Year ending March,2017,801
4 Western, Colac-Otway,Year ending March,2017,"1,616"
4 Western, Central Goldfields,Year ending March,2017,949
4 Western, Campaspe,Year ending March,2017,"2,741"
4 Western, Buloke,Year ending March,2017,141
4 Western, Ballarat,Year ending March,2017,"9,215"
4 Western, Ararat,Year ending March,2017,909
4 Western,Total,Year ending March,2016,"61,146"
4 Western, Yarriambiack,Year ending March,2016,331
4 Western, West Wimmera,Year ending March,2016,115
4 Western, Warrnambool,Year ending March,2016,"2,207"
4 Western, Swan Hill,Year ending March,2016,"1,607"
4 Western, Surf Coast,Year ending March,2016,"1,207"
4 Western, Southern Grampians,Year ending March,2016,851
4 Western, Queenscliffe,Year ending March,2016,146
4 Western, Pyrenees,Year ending March,2016,414
4 Western, Northern Grampians,Year ending March,2016,824
4 Western, Moyne,Year ending March,2016,427
4 Western, Mount Alexander,Year ending March,2016,810
4 Western, Moorabool,Year ending March,2016,"1,666"
4 Western, Mildura,Year ending March,2016,"4,700"
4 Western, Macedon Ranges,Year ending March,2016,"1,617"
4 Western, Loddon,Year ending March,2016,309
4 Western, Horsham,Year ending March,2016,"2,036"
4 Western, Hindmarsh,Year ending March,2016,168
4 Western, Hepburn,Year ending March,2016,612
4 Western, Greater Geelong,Year ending March,2016,"16,886"
4 Western, Greater Bendigo,Year ending March,2016,"6,639"
4 Western, Golden Plains,Year ending March,2016,600
4 Western, Glenelg,Year ending March,2016,"1,246"
4 Western, Gannawarra,Year ending March,2016,440
4 Western, Corangamite,Year ending March,2016,563
4 Western, Colac-Otway,Year ending March,2016,"1,207"
4 Western, Central Goldfields,Year ending March,2016,911
4 Western, Campaspe,Year ending March,2016,"2,517"
4 Western, Buloke,Year ending March,2016,177
4 Western, Ballarat,Year ending March,2016,"9,034"
4 Western, Ararat,Year ending March,2016,879
4 Western,Total,Year ending March,2015,"54,677"
4 Western, Yarriambiack,Year ending March,2015,207
4 Western, West Wimmera,Year ending March,2015,80
4 Western, Warrnambool,Year ending March,2015,"2,008"
4 Western, Swan Hill,Year ending March,2015,"1,642"
4 Western, Surf Coast,Year ending March,2015,901
4 Western, Southern Grampians,Year ending March,2015,679
4 Western, Queenscliffe,Year ending March,2015,106
4 Western, Pyrenees,Year ending March,2015,352
4 Western, Northern Grampians,Year ending March,2015,769
4 Western, Moyne,Year ending March,2015,448
4 Western, Mount Alexander,Year ending March,2015,682
4 Western, Moorabool,Year ending March,2015,"1,517"
4 Western, Mildura,Year ending March,2015,"4,626"
4 Western, Macedon Ranges,Year ending March,2015,"1,419"
4 Western, Loddon,Year ending March,2015,251
4 Western, Horsham,Year ending March,2015,"1,672"
4 Western, Hindmarsh,Year ending March,2015,152
4 Western, Hepburn,Year ending March,2015,500
4 Western, Greater Geelong,Year ending March,2015,"14,777"
4 Western, Greater Bendigo,Year ending March,2015,"6,088"
4 Western, Golden Plains,Year ending March,2015,490
4 Western, Glenelg,Year ending March,2015,"1,404"
4 Western, Gannawarra,Year ending March,2015,433
4 Western, Corangamite,Year ending March,2015,445
4 Western, Colac-Otway,Year ending March,2015,"1,055"
4 Western, Central Goldfields,Year ending March,2015,808
4 Western, Campaspe,Year ending March,2015,"2,281"
4 Western, Buloke,Year ending March,2015,200
4 Western, Ballarat,Year ending March,2015,"7,825"
4 Western, Ararat,Year ending March,2015,860
Justice Institutions and Immigration Facilities,Total,Year ending March,2024,969
Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,Year ending March,2024,969
Justice Institutions and Immigration Facilities,Total,Year ending March,2023,"1,072"
Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,Year ending March,2023,"1,072"
Justice Institutions and Immigration Facilities,Total,Year ending March,2022,899
Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,Year ending March,2022,899
Justice Institutions and Immigration Facilities,Total,Year ending March,2021,"1,270"
Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,Year ending March,2021,"1,270"
Justice Institutions and Immigration Facilities,Total,Year ending March,2020,"1,377"
Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,Year ending March,2020,"1,377"
Justice Institutions and Immigration Facilities,Total,Year ending March,2019,"1,483"
Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,Year ending March,2019,"1,483"
Justice Institutions and Immigration Facilities,Total,Year ending March,2018,"1,476"
Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,Year ending March,2018,"1,476"
Justice Institutions and Immigration Facilities,Total,Year ending March,2017,"1,125"
Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,Year ending March,2017,"1,125"
Justice Institutions and Immigration Facilities,Total,Year ending March,2016,792
Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,Year ending March,2016,792
Justice Institutions and Immigration Facilities,Total,Year ending March,2015,748
Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,Year ending March,2015,748
Unincorporated Vic,Total,Year ending March,2024,95
Unincorporated Vic, Unincorporated Vic,Year ending March,2024,95
Unincorporated Vic,Total,Year ending March,2023,92
Unincorporated Vic, Unincorporated Vic,Year ending March,2023,92
Unincorporated Vic,Total,Year ending March,2022,73
Unincorporated Vic, Unincorporated Vic,Year ending March,2022,73
Unincorporated Vic,Total,Year ending March,2021,30
Unincorporated Vic, Unincorporated Vic,Year ending March,2021,30
Unincorporated Vic,Total,Year ending March,2020,109
Unincorporated Vic, Unincorporated Vic,Year ending March,2020,109
Unincorporated Vic,Total,Year ending March,2019,95
Unincorporated Vic, Unincorporated Vic,Year ending March,2019,95
Unincorporated Vic,Total,Year ending March,2018,117
Unincorporated Vic, Unincorporated Vic,Year ending March,2018,117
Unincorporated Vic,Total,Year ending March,2017,126
Unincorporated Vic, Unincorporated Vic,Year ending March,2017,126
Unincorporated Vic,Total,Year ending March,2016,93
Unincorporated Vic, Unincorporated Vic,Year ending March,2016,93
Unincorporated Vic,Total,Year ending March,2015,98
Unincorporated Vic, Unincorporated Vic,Year ending March,2015,98
